,mean,median,std,min,max
median active leaks,18429.0,18436.0,72.75300681071539,18353.0,18498.0
median daily emissions,156.77040855128374,157.0228602723313,0.9927241219961912,155.67583240351973,157.61253297800016
cumulative repaired leaks,9050.0,9031.0,146.92430023655038,8913.5,9205.5
