,mean,median,std,min,max
median active leaks,16952.0,16994.0,133.06765196696003,16803.0,17059.0
median daily emissions,110.03226411699488,109.97129340402361,2.4096359285260855,107.65369213975771,112.47180680720331
cumulative repaired leaks,10481.666666666666,10432.0,188.96053379828638,10322.5,10690.5
