,mean,median,std,min,max
median active leaks,16960.333333333332,16990.0,96.4835910055867,16852.5,17038.5
median daily emissions,87.42707642631042,87.26464840330375,1.323175556678263,86.1926132711815,88.82396760444598
cumulative repaired leaks,10478.5,10472.5,136.59886529543354,10345.0,10618.0
