,mean,median,std,min,max
median active leaks,16981.5,17029.5,104.61357464497617,16861.5,17053.5
median daily emissions,109.46502304632186,109.15515610661755,2.4579843406862762,107.17666490876863,112.06324812357943
cumulative repaired leaks,10461.833333333334,10424.5,151.97889107811432,10332.0,10629.0
