,mean,median,std,min,max
median active leaks,16956.833333333332,17004.0,82.99748992188458,16861.0,17005.5
median daily emissions,121.5103668339887,121.33598828753546,0.6669665019271142,120.94791127609948,122.24720093833116
cumulative repaired leaks,10487.833333333334,10478.5,136.23998434135748,10356.5,10628.5
