,program_name,total_program_emissions_kg,sale_price_natgas,GWP_CH4,carbon_price_tonnesCO2e,cost_CCUS,total_program_cost,total_emissions_mcf,simulation_avg_emissions_tonnesCO2e,difference_base_mcf,value_gas_sold,dif_base_tonnesCO2e,cost_mitigation_ratio
0,P_OGI,17977001.256269056,3.0,28.0,40.0,20.0,5169666.666666667,936360.4812164672,503356.0351755336,-553487.2799854986,1660461.839956496,297536.2249500833,17.374915163805568
1,P_OGI_QE,20659829.230282594,3.0,28.0,40.0,20.0,5166866.666666667,1076099.8102045143,578475.2184479126,-413747.95099745155,1241243.8529923547,222417.0416777042,23.230534079999906
2,P_OGI_bayes,20843603.935925473,3.0,28.0,40.0,20.0,5167866.666666667,1085672.0057758514,583620.9102059132,-404175.7554261144,1212527.2662783433,217271.34991970359,23.78531117230386
3,P_OGI_bayes_l,22595871.166029427,3.0,28.0,40.0,20.0,5168000.0,1176941.609833303,632684.392648824,-312906.15136866295,938718.4541059888,168207.8674767929,30.723889896012224
4,P_OGI_bayes_u,20703688.626643416,3.0,28.0,40.0,20.0,5178466.666666667,1078384.2960815993,579703.2815460156,-411463.46512036654,1234390.3953610996,221188.9785796011,23.411956146825144
5,P_none,28603295.00448631,3.0,28.0,40.0,20.0,3641200.0,1489847.7612019659,800892.2601256167,0.0,0.0,0.0,0.0
