datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2023-01-01,18250,54.0,54.0,48.86612021857923,0.0,49.0,77977.8758429852,9800.0,0.0,9800.0,0.0,0.0,49.0
2023-01-02,18255,49.0,49.0,97.73224043715847,0.0,98.0,78077.6599438983,9800.0,0.0,9800.0,0.0,0.0,49.0
2023-01-03,18255,40.0,40.0,150.58743169398906,0.0,151.0,78011.09735483513,10600.0,0.0,10600.0,0.0,0.0,53.0
2023-01-04,18242,48.0,48.0,204.43989071038249,0.0,205.0,77862.68560949854,10800.0,0.0,10800.0,0.0,0.0,54.0
2023-01-05,18236,48.0,48.0,252.30874316939892,0.0,253.0,77932.76974438874,9600.0,0.0,9600.0,0.0,0.0,48.0
2023-01-06,18236,56.0,56.0,295.1912568306011,0.0,296.0,77891.9202931609,8600.0,0.0,8600.0,0.0,0.0,43.0
2023-01-07,18249,45.0,45.0,349.04371584699453,0.0,350.0,77988.1738559022,10800.0,0.0,10800.0,0.0,0.0,54.0
2023-01-08,18240,43.0,43.0,391.9262295081967,0.0,393.0,78095.00142637172,8600.0,0.0,8600.0,0.0,0.0,43.0
2023-01-09,18240,60.0,60.0,435.80601092896177,0.0,437.0,78136.28819026925,8800.0,0.0,8800.0,0.0,0.0,44.0
2023-01-10,18256,45.0,45.0,486.66666666666674,0.0,488.0,78171.9505048363,10200.0,0.0,10200.0,0.0,0.0,51.0
2023-01-11,18250,40.0,40.0,537.5273224043715,0.0,539.0,77924.38705417799,10200.0,0.0,10200.0,0.0,0.0,51.0
2023-01-12,18239,48.0,48.0,592.3770491803278,0.0,594.0,77915.41764753827,11000.0,0.0,11000.0,0.0,0.0,55.0
2023-01-13,18232,54.0,54.0,647.2267759562841,0.0,649.0,77759.97900459415,11000.0,0.0,11000.0,0.0,0.0,55.0
2023-01-14,18231,57.0,57.0,702.0765027322403,0.0,704.0,77659.0966771867,11000.0,0.0,11000.0,0.0,0.0,55.0
2023-01-15,18233,48.0,48.0,753.9344262295083,0.0,756.0,77713.21342109761,10400.0,0.0,10400.0,0.0,0.0,52.0
2023-01-16,18229,53.0,53.0,795.8196721311475,0.0,798.0,77744.45065067429,8400.0,0.0,8400.0,0.0,0.0,42.0
2023-01-17,18240,45.0,45.0,845.6830601092896,0.0,848.0,77463.757170469,10000.0,0.0,10000.0,0.0,0.0,50.0
2023-01-18,18235,46.0,46.0,890.5601092896173,0.0,893.0,77435.23113754534,9000.0,0.0,9000.0,0.0,0.0,45.0
2023-01-19,18236,43.0,43.0,931.448087431694,0.0,934.0,77414.02887877538,8200.0,0.0,8200.0,0.0,0.0,41.0
2023-01-20,18238,54.0,54.0,988.2923497267759,0.0,991.0,77413.00780159172,11400.0,0.0,11400.0,0.0,0.0,57.0
2023-01-21,18235,57.0,57.0,1036.1612021857923,0.0,1039.0,77515.0128527992,9600.0,0.0,9600.0,0.0,0.0,48.0
2023-01-22,18244,52.0,52.0,1080.0409836065573,0.0,1083.0,77658.20041126278,8800.0,0.0,8800.0,0.0,0.0,44.0
2023-01-23,18252,43.0,43.0,1117.9371584699452,0.0,1121.0,77723.42366594974,7600.0,0.0,7600.0,0.0,0.0,38.0
2023-01-24,18257,50.0,50.0,1165.8060109289618,0.0,1169.0,77691.93296666392,9600.0,0.0,9600.0,0.0,0.0,48.0
2023-01-25,18259,41.0,41.0,1216.6666666666665,0.0,1220.0,77641.44246574317,10200.0,0.0,10200.0,0.0,0.0,51.0
2023-01-26,18249,52.0,52.0,1265.532786885246,0.0,1269.0,77643.4709413561,9800.0,0.0,9800.0,0.0,0.0,49.0
2023-01-27,18252,62.0,62.0,1306.4207650273224,0.0,1310.0,77669.21066165704,8200.0,0.0,8200.0,0.0,0.0,41.0
2023-01-28,18273,43.0,43.0,1365.2595628415302,0.0,1369.0,77595.26063625846,11800.0,0.0,11800.0,0.0,0.0,59.0
2023-01-29,18257,68.0,68.0,1399.1666666666665,0.0,1403.0,77687.17350284076,6800.0,0.0,6800.0,0.0,0.0,34.0
2023-01-30,18291,48.0,48.0,1452.0218579234972,0.0,1456.0,77654.37847190493,10600.0,0.0,10600.0,0.0,0.0,53.0
2023-01-31,18286,55.0,55.0,1511.8579234972678,0.0,1516.0,77579.39415766529,12000.0,0.0,12000.0,0.0,0.0,60.0
2023-02-01,18281,46.0,46.0,1557.7322404371582,0.0,1562.0,77676.66152838658,9200.0,0.0,9200.0,0.0,0.0,46.0
2023-02-02,18281,54.0,54.0,1607.5956284153006,0.0,1612.0,77968.94547768528,10000.0,0.0,10000.0,0.0,0.0,50.0
2023-02-03,18285,52.0,52.0,1652.4726775956285,0.0,1657.0,77964.09387074,9000.0,0.0,9000.0,0.0,0.0,45.0
2023-02-04,18292,51.0,51.0,1707.3224043715848,0.0,1712.0,78006.76681592406,11000.0,0.0,11000.0,0.0,0.0,55.0
2023-02-05,18288,53.0,53.0,1746.2158469945355,0.0,1751.0,78020.57319923637,7800.0,0.0,7800.0,0.0,0.0,39.0
2023-02-06,18302,55.0,55.0,1798.0737704918033,0.0,1803.0,78144.16364829833,10400.0,0.0,10400.0,0.0,0.0,52.0
2023-02-07,18305,45.0,45.0,1839.9590163934427,0.0,1845.0,78192.77135600326,8400.0,0.0,8400.0,0.0,0.0,42.0
