datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2023-01-01,18174,42.0,42.0,54.849726775956285,0.0,55.0,79141.44454031112,11000.0,0.0,11000.0,0.0,0.0,55.0
2023-01-02,18161,48.0,48.0,106.70765027322405,0.0,107.0,79386.78154193678,10400.0,0.0,10400.0,0.0,0.0,52.0
2023-01-03,18157,46.0,46.0,154.57650273224044,0.0,155.0,79346.24571080261,9600.0,0.0,9600.0,0.0,0.0,48.0
2023-01-04,18155,49.0,49.0,215.40983606557376,0.0,216.0,79254.14412451473,12200.0,0.0,12200.0,0.0,0.0,61.0
2023-01-05,18143,51.0,51.0,267.2677595628415,0.0,268.0,79152.37184654865,10400.0,0.0,10400.0,0.0,0.0,52.0
2023-01-06,18142,42.0,42.0,314.1393442622951,0.0,315.0,79030.09367983021,9400.0,0.0,9400.0,0.0,0.0,47.0
2023-01-07,18137,47.0,47.0,373.9754098360656,0.0,375.0,79010.73230887252,12000.0,0.0,12000.0,0.0,0.0,60.0
2023-01-08,18124,51.0,51.0,426.8306010928962,0.0,428.0,78909.31966703146,10600.0,0.0,10600.0,0.0,0.0,53.0
2023-01-09,18122,48.0,48.0,468.7158469945355,0.0,470.0,78818.41027576008,8400.0,0.0,8400.0,0.0,0.0,42.0
2023-01-10,18128,55.0,55.0,533.5382513661202,0.0,535.0,78849.74966080896,13000.0,0.0,13000.0,0.0,0.0,65.0
2023-01-11,18118,51.0,51.0,582.4043715846994,0.0,584.0,78844.33022768231,9800.0,0.0,9800.0,0.0,0.0,49.0
2023-01-12,18120,49.0,49.0,625.2868852459017,0.0,627.0,78712.54525623978,8600.0,0.0,8600.0,0.0,0.0,43.0
2023-01-13,18126,51.0,51.0,678.1420765027323,0.0,680.0,78657.26776366912,10600.0,0.0,10600.0,0.0,0.0,53.0
2023-01-14,18124,57.0,57.0,725.0136612021857,0.0,727.0,78992.05157430662,9400.0,0.0,9400.0,0.0,0.0,47.0
2023-01-15,18134,45.0,45.0,781.8579234972677,0.0,784.0,78902.92676023357,11400.0,0.0,11400.0,0.0,0.0,57.0
2023-01-16,18122,48.0,48.0,828.7295081967213,0.0,831.0,78766.5242180356,9400.0,0.0,9400.0,0.0,0.0,47.0
2023-01-17,18123,45.0,45.0,871.6120218579235,0.0,874.0,78778.1862008312,8600.0,0.0,8600.0,0.0,0.0,43.0
2023-01-18,18125,47.0,47.0,931.448087431694,0.0,934.0,78740.59369917682,12000.0,0.0,12000.0,0.0,0.0,60.0
2023-01-19,18112,46.0,46.0,984.3032786885246,0.0,987.0,78639.40268263184,10600.0,0.0,10600.0,0.0,0.0,53.0
2023-01-20,18105,63.0,63.0,1030.1775956284152,0.0,1033.0,78865.04587303156,9200.0,0.0,9200.0,0.0,0.0,46.0
2023-01-21,18122,56.0,56.0,1074.0573770491803,0.0,1077.0,78760.73137297512,8800.0,0.0,8800.0,0.0,0.0,44.0
2023-01-22,18134,52.0,52.0,1115.9426229508197,0.0,1119.0,78751.71488736331,8400.0,0.0,8400.0,0.0,0.0,42.0
2023-01-23,18144,53.0,53.0,1178.7704918032787,0.0,1182.0,78670.42762833409,12600.0,0.0,12600.0,0.0,0.0,63.0
2023-01-24,18134,57.0,57.0,1223.6475409836066,0.0,1227.0,78735.48570687685,9000.0,0.0,9000.0,0.0,0.0,45.0
2023-01-25,18146,42.0,42.0,1274.5081967213116,0.0,1278.0,78569.84558666259,10200.0,0.0,10200.0,0.0,0.0,51.0
2023-01-26,18137,59.0,59.0,1340.327868852459,0.0,1344.0,78579.56856616108,13200.0,0.0,13200.0,0.0,0.0,66.0
2023-01-27,18130,43.0,43.0,1384.207650273224,0.0,1388.0,78588.87579923763,8800.0,0.0,8800.0,0.0,0.0,44.0
