datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_prop_sites_avail,OGI_cost,OGI_sites_visited,OGI_travel_time,OGI_survey_time,OGI_redund_tags,OGI_missed_leaks,OGI_sites_vis_w_leaks,OGI_eff_flags,OGI_n_tags,OGI_flags_redund1,OGI_flags_redund2,OGI_flag_wo_vent
2023-01-01,18250,54.0,54.0,66.81693989071037,0.0,49.0,77977.8758429852,13400.0,0.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-01-02,18255,49.0,49.0,133.63387978142075,0.0,98.0,78077.6599438983,13400.0,0.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,62.0,0.0,0.0,0.0
2023-01-03,18255,40.0,40.0,204.43989071038249,0.0,151.0,78011.09735483513,14200.0,0.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,61.0,0.0,0.0,0.0
2023-01-04,18242,48.0,48.0,276.24316939890707,0.0,205.0,77862.68560949854,14400.0,0.0,10800.0,0.0,0.0,54.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-05,18236,48.0,48.0,342.06284153005464,0.0,253.0,77932.76974438874,13200.0,0.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,90.0,0.0,0.0,0.0
2023-01-06,18236,56.0,56.0,402.89617486338796,0.0,296.0,77891.9202931609,12200.0,0.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-01-07,18249,45.0,45.0,474.6994535519126,0.0,350.0,77988.1738559022,14400.0,0.0,10800.0,0.0,0.0,54.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-01-08,18240,43.0,43.0,535.5327868852459,0.0,393.0,78095.00142637172,12200.0,0.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-09,18240,60.0,60.0,597.3633879781421,0.0,437.0,78136.28819026925,12400.0,0.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-01-10,18256,45.0,45.0,666.1748633879781,0.0,488.0,78171.9505048363,13800.0,0.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,69.0,0.0,0.0,0.0
2023-01-11,18250,40.0,40.0,734.9863387978143,0.0,539.0,77924.38705417799,13800.0,0.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0
2023-01-12,18239,48.0,48.0,807.7868852459017,0.0,594.0,77915.41764753827,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,50.0,0.0,0.0,0.0
2023-01-13,18232,54.0,54.0,880.5874316939891,0.0,649.0,77759.97900459415,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,79.0,0.0,0.0,0.0
2023-01-14,18231,57.0,57.0,953.3879781420765,0.0,704.0,77659.0966771867,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,57.0,0.0,0.0,0.0
2023-01-15,18233,48.0,48.0,1023.1967213114754,0.0,756.0,77713.21342109761,14000.0,0.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,51.0,0.0,0.0,0.0
2023-01-16,18229,53.0,53.0,1083.032786885246,0.0,798.0,77744.45065067429,12000.0,0.0,8400.0,0.0,0.0,42.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,67.0,0.0,0.0,0.0
2023-01-17,18240,45.0,45.0,1154.8360655737704,0.0,852.0,77099.18845193558,14400.0,800.0,10000.0,0.0,0.0,50.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-18,18231,46.0,46.0,1219.6584699453551,0.0,899.0,76997.70716254164,13000.0,400.0,9000.0,0.0,0.0,45.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-19,18230,43.0,43.0,1279.4945355191257,0.0,941.0,76930.0554066706,12000.0,200.0,8200.0,0.0,0.0,41.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-01-20,18231,54.0,54.0,1356.2841530054645,0.0,1000.0,76824.6590795601,15400.0,400.0,11400.0,0.0,0.0,57.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-01-21,18226,57.0,57.0,1424.0983606557377,0.0,1050.0,76821.42294765315,13600.0,400.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,76.0,0.0,0.0,0.0
2023-01-22,18233,52.0,52.0,1488.9207650273224,0.0,1097.0,76773.33731761014,13000.0,600.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-23,18238,43.0,43.0,1545.7650273224042,0.0,1136.0,76805.24898581907,11400.0,200.0,7600.0,0.0,0.0,38.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-24,18242,50.0,50.0,1613.5792349726776,0.0,1186.0,76667.78536113312,13600.0,400.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0
2023-01-25,18242,41.0,41.0,1686.3797814207653,0.0,1241.0,76398.31059835489,14600.0,800.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-26,18228,52.0,52.0,1759.1803278688524,0.0,1296.0,76052.31937034627,14600.0,1200.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-27,18225,62.0,62.0,1821.0109289617487,0.0,1340.0,75954.54593440826,12400.0,600.0,8200.0,0.0,0.0,41.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-28,18243,43.0,43.0,1898.7978142076504,0.0,1400.0,75904.54135754345,15600.0,400.0,11600.0,0.0,0.0,58.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,58.0,0.0,0.0,0.0
2023-01-29,18226,68.0,68.0,1952.6502732240438,0.0,1436.0,75865.2512969743,10800.0,400.0,6800.0,0.0,0.0,34.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0
2023-01-30,18258,48.0,48.0,2028.44262295082,0.0,1494.0,75547.9034410046,15200.0,1000.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,72.0,0.0,0.0,0.0
2023-01-31,18248,55.0,55.0,2108.224043715847,0.0,1556.0,75296.97899535886,16000.0,400.0,12000.0,0.0,0.0,60.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-02-01,18241,46.0,46.0,2175.0409836065573,0.0,1605.0,75170.5139270733,13400.0,600.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,52.0,0.0,0.0,0.0
2023-02-02,18238,54.0,54.0,2245.846994535519,0.0,1658.0,75312.3257352307,14200.0,600.0,10000.0,0.0,0.0,50.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,78.0,0.0,0.0,0.0
2023-02-03,18239,52.0,52.0,2312.6639344262294,0.0,1707.0,75009.25226920367,13400.0,800.0,9000.0,0.0,0.0,45.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,76.0,0.0,0.0,0.0
2023-02-04,18242,51.0,51.0,2389.4535519125684,0.0,1766.0,74804.48100089014,15400.0,800.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
2023-02-05,18234,53.0,53.0,2447.2950819672133,0.0,1806.0,74788.78583610136,11600.0,400.0,7600.0,0.0,0.0,38.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,72.0,0.0,0.0,0.0
2023-02-06,18247,55.0,55.0,2520.0956284153003,0.0,1861.0,74707.33916586617,14600.0,600.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
