datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_prop_sites_avail,OGI_cost,OGI_sites_visited,OGI_travel_time,OGI_survey_time,OGI_redund_tags,OGI_missed_leaks,OGI_sites_vis_w_leaks,OGI_eff_flags,OGI_n_tags,OGI_flags_redund1,OGI_flags_redund2,OGI_flag_wo_vent
2023-01-25,18126,42.0,42.0,1744.22131147541,0.0,1299.0,77319.76848826182,14000.0,200.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0
2023-01-26,18116,59.0,59.0,1832.9781420765028,0.0,1370.0,77048.2376588254,17800.0,1000.0,13200.0,0.0,0.0,66.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,69.0,0.0,0.0,0.0
2023-01-27,18104,43.0,43.0,1896.8032786885246,0.0,1416.0,76802.92827491232,12800.0,400.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,57.0,0.0,0.0,0.0
2023-01-28,18101,49.0,49.0,1973.5928961748637,0.0,1475.0,76256.3771736156,15400.0,1000.0,10800.0,0.0,0.0,54.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,78.0,0.0,0.0,0.0
2023-01-29,18091,66.0,66.0,2046.3934426229507,0.0,1530.0,76094.20861814392,14600.0,600.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-01-30,18102,56.0,56.0,2112.2131147540986,0.0,1578.0,75974.77083190868,13200.0,400.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,80.0,0.0,0.0,0.0
2023-01-31,18110,47.0,47.0,2186.0109289617485,0.0,1634.0,75880.89636040802,14800.0,200.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-02-01,18101,59.0,59.0,2260.8060109289618,0.0,1691.0,75850.8590267754,15000.0,200.0,11200.0,0.0,0.0,56.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,56.0,0.0,0.0,0.0
2023-02-02,18103,52.0,52.0,2338.5928961748637,0.0,1751.0,75899.23634803384,15600.0,400.0,11600.0,0.0,0.0,58.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-02-03,18095,56.0,56.0,2410.396174863388,0.0,1805.0,75463.98470338498,14400.0,1000.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,81.0,0.0,0.0,0.0
2023-02-04,18097,73.0,73.0,2472.226775956284,0.0,1849.0,75473.60346515733,12400.0,400.0,8400.0,0.0,0.0,42.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,67.0,0.0,0.0,0.0
2023-02-05,18126,55.0,55.0,2547.0218579234975,0.0,1906.0,74864.93118117486,15000.0,1400.0,10000.0,0.0,0.0,50.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-02-06,18124,49.0,49.0,2621.8169398907107,0.0,1963.0,74589.64189403219,15000.0,1000.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-02-07,18116,58.0,58.0,2692.622950819672,0.0,2016.0,74462.9038796131,14200.0,800.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,77.0,0.0,0.0,0.0
2023-02-08,18121,52.0,52.0,2751.4617486338802,0.0,2057.0,74351.46163336055,11800.0,400.0,7800.0,0.0,0.0,39.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,61.0,0.0,0.0,0.0
2023-02-09,18132,52.0,52.0,2810.3005464480875,0.0,2098.0,74196.61795172615,11800.0,800.0,7400.0,0.0,0.0,37.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,55.0,0.0,0.0,0.0
2023-02-10,18143,48.0,48.0,2884.098360655738,0.0,2154.0,73949.07844314935,14800.0,1200.0,10000.0,0.0,0.0,50.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,69.0,0.0,0.0,0.0
2023-02-11,18135,53.0,53.0,2945.928961748634,0.0,2198.0,73801.42216616511,12400.0,800.0,8000.0,0.0,0.0,40.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-02-12,18144,56.0,56.0,3021.72131147541,0.0,2256.0,73516.91172870435,15200.0,800.0,10800.0,0.0,0.0,54.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,71.0,0.0,0.0,0.0
2023-02-13,18142,51.0,51.0,3086.5437158469945,0.0,2303.0,73427.43364408368,13000.0,200.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,69.0,0.0,0.0,0.0
2023-02-14,18146,48.0,48.0,3145.382513661202,0.0,2344.0,73268.98113822094,11800.0,600.0,7600.0,0.0,0.0,38.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-02-15,18153,63.0,63.0,3219.1803278688526,0.0,2400.0,73059.87454416313,14800.0,800.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-02-16,18160,43.0,43.0,3285.997267759563,0.0,2449.0,72990.64358288427,13400.0,600.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,60.0,0.0,0.0,0.0
2023-02-17,18154,51.0,51.0,3356.8032786885246,0.0,2502.0,72782.88507555438,14200.0,400.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-02-18,18152,68.0,68.0,3422.622950819672,0.0,2550.0,72734.33535335457,13200.0,600.0,9000.0,0.0,0.0,45.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
