datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_QE_prop_sites_avail,OGI_QE_cost,OGI_QE_sites_visited,OGI_QE_travel_time,OGI_QE_survey_time,OGI_QE_redund_tags,OGI_QE_missed_leaks,OGI_QE_sites_vis_w_leaks,OGI_QE_eff_flags,OGI_QE_n_tags,OGI_QE_flags_redund1,OGI_QE_flags_redund2,OGI_QE_flag_wo_vent
2023-01-01,18250,54.0,54.0,66.81693989071037,0.0,49.0,77977.8758429852,13400.0,0.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-01-02,18255,49.0,49.0,133.63387978142075,0.0,98.0,78077.6599438983,13400.0,0.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,62.0,0.0,0.0,0.0
2023-01-03,18255,40.0,40.0,204.43989071038249,0.0,151.0,78011.09735483513,14200.0,0.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,61.0,0.0,0.0,0.0
2023-01-04,18242,48.0,48.0,276.24316939890707,0.0,205.0,77862.68560949854,14400.0,0.0,10800.0,0.0,0.0,54.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-05,18236,48.0,48.0,342.06284153005464,0.0,253.0,77932.76974438874,13200.0,0.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,90.0,0.0,0.0,0.0
2023-01-06,18236,56.0,56.0,402.89617486338796,0.0,296.0,77891.9202931609,12200.0,0.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-01-07,18249,45.0,45.0,474.6994535519126,0.0,350.0,77988.1738559022,14400.0,0.0,10800.0,0.0,0.0,54.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-01-08,18240,43.0,43.0,535.5327868852459,0.0,393.0,78095.00142637172,12200.0,0.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-09,18240,60.0,60.0,597.3633879781421,0.0,437.0,78136.28819026925,12400.0,0.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-01-10,18256,45.0,45.0,666.1748633879781,0.0,488.0,78171.9505048363,13800.0,0.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,69.0,0.0,0.0,0.0
2023-01-11,18250,40.0,40.0,734.9863387978143,0.0,539.0,77924.38705417799,13800.0,0.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0
2023-01-12,18239,48.0,48.0,807.7868852459017,0.0,594.0,77915.41764753827,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,50.0,0.0,0.0,0.0
2023-01-13,18232,54.0,54.0,880.5874316939891,0.0,649.0,77759.97900459415,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,79.0,0.0,0.0,0.0
2023-01-14,18231,57.0,57.0,953.3879781420765,0.0,704.0,77659.0966771867,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,57.0,0.0,0.0,0.0
2023-01-15,18233,48.0,48.0,1023.1967213114754,0.0,756.0,77713.21342109761,14000.0,0.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,51.0,0.0,0.0,0.0
2023-01-16,18229,53.0,53.0,1083.032786885246,0.0,798.0,77744.45065067429,12000.0,0.0,8400.0,0.0,0.0,42.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,67.0,0.0,0.0,0.0
2023-01-17,18240,45.0,45.0,1156.8306010928961,0.0,854.0,77086.26196591929,14800.0,1200.0,10000.0,0.0,0.0,50.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-18,18229,46.0,46.0,1221.6530054644809,0.0,901.0,77030.04257221843,13000.0,400.0,9000.0,0.0,0.0,45.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-19,18228,43.0,43.0,1281.4890710382513,0.0,943.0,76962.39081634738,12000.0,200.0,8200.0,0.0,0.0,41.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-01-20,18229,54.0,54.0,1360.2732240437158,0.0,1004.0,76834.51720265856,15800.0,800.0,11400.0,0.0,0.0,57.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-01-21,18222,57.0,57.0,1432.0765027322404,0.0,1058.0,76794.33350104354,14400.0,1200.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,76.0,0.0,0.0,0.0
2023-01-22,18225,52.0,52.0,1498.8934426229507,0.0,1107.0,76741.42716824195,13400.0,1000.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-23,18228,43.0,43.0,1558.729508196721,0.0,1149.0,76748.91497348617,12000.0,800.0,7600.0,0.0,0.0,38.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-24,18229,50.0,50.0,1626.5437158469947,0.0,1199.0,76681.47259649547,13600.0,400.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0
2023-01-25,18229,41.0,41.0,1700.3415300546446,0.0,1255.0,76489.42188134357,14800.0,1000.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-26,18214,52.0,52.0,1771.1475409836066,0.0,1308.0,76373.54192767994,14200.0,800.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-27,18213,62.0,62.0,1832.9781420765028,0.0,1352.0,76311.65493623013,12400.0,600.0,8200.0,0.0,0.0,41.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-28,18231,43.0,43.0,1910.7650273224044,0.0,1412.0,76231.84882397004,15600.0,200.0,11800.0,0.0,0.0,59.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,58.0,0.0,0.0,0.0
2023-01-29,18214,68.0,68.0,1964.6174863387978,0.0,1448.0,76222.41008987407,10800.0,400.0,6800.0,0.0,0.0,34.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0
2023-01-30,18246,48.0,48.0,2036.4207650273224,0.0,1502.0,76158.14618067065,14400.0,200.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,72.0,0.0,0.0,0.0
2023-01-31,18240,55.0,55.0,2117.199453551913,0.0,1565.0,75914.13280929833,16200.0,600.0,12000.0,0.0,0.0,60.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-02-01,18232,46.0,46.0,2182.0218579234975,0.0,1612.0,75972.4348642606,13000.0,200.0,9200.0,0.0,0.0,46.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,52.0,0.0,0.0,0.0
2023-02-02,18231,54.0,54.0,2249.8360655737706,0.0,1662.0,76264.7188135593,13600.0,0.0,10000.0,0.0,0.0,50.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,78.0,0.0,0.0,0.0
2023-02-03,18235,52.0,52.0,2315.655737704918,0.0,1710.0,76014.31737655165,13200.0,600.0,9000.0,0.0,0.0,45.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,76.0,0.0,0.0,0.0
2023-02-04,18239,51.0,51.0,2392.4453551912566,0.0,1769.0,75927.75613334076,15400.0,800.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
2023-02-05,18231,53.0,53.0,2450.2868852459014,0.0,1809.0,75923.7607211324,11600.0,400.0,7600.0,0.0,0.0,38.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,72.0,0.0,0.0,0.0
